pos,event,average_sss
"1","Victoria Dock","0.8"
"2","Storeys Field","0.9"
"3","Aberbeeg","1.0"
"4","Watermead Country Park","1.0"
"5","Sutcliffe","1.0"
"6","Belfast Victoria","1.1"
"7","Pegwell Bay","1.2"
"8","Isabel Trail","1.2"
"9","Dulwich","1.2"
"10","Market Rasen Racecourse","1.2"
"11","The Wammy","1.2"
"12","Walsall Arboretum","1.2"
"13","Long Eaton","1.2"
"14","Swansea Bay","1.2"
"15","Knockbracken Reservoir","1.2"
"16","Stretford","1.3"
"17","Worthing","1.3"
"18","Burgess","1.3"
"19","Great Denham","1.3"
"20","Sandy Water","1.4"
"21","Alexandra","1.4"
"22","Rother Valley","1.4"
"23","Torbay Velopark","1.4"
"24","Eden Project","1.4"
"25","Doddington Hall","1.4"
"26","Stratford-upon-Avon","1.4"
"27","Edgbaston Reservoir","1.4"
"28","Victoria","1.4"
"29","Riverfront","1.4"
"30","Groe","1.4"
"31","Severn Bridge","1.4"
"32","Hartlepool","1.4"
"33","Morecambe Prom","1.4"
"34","Hove Promenade","1.4"
"35","Peel","1.4"
"36","Riverside","1.4"
"37","Hull","1.5"
"38","South Manchester","1.5"
"39","Bromley","1.5"
"40","Albert","1.5"
"41","Worcester Pitchcroft","1.5"
"42","Raphael","1.5"
"43","Exmouth","1.5"
"44","Southport","1.6"
"45","East Park","1.6"
"46","Chasewater","1.6"
"47","Southend","1.6"
"48","Bakewell","1.6"
"49","Poole","1.6"
"50","The Old Showfield","1.6"
"51","Beacon","1.6"
"52","Hackney Marshes","1.6"
"53","Clevedon Salthouse Fields","1.6"
"54","Cassiobury","1.6"
"55","Blyth Links","1.6"
"56","Oaklands","1.6"
"57","Widnes","1.6"
"58","Norwich","1.6"
"59","Northampton","1.6"
"60","Chalkwell Beach","1.6"
"61","Rickmansworth","1.6"
"62","Strathclyde","1.6"
"63","Kingston","1.6"
"64","St Andrews","1.6"
"65","Heslington","1.6"
"66","Springburn","1.6"
"67","Linwood","1.6"
"68","Edinburgh","1.6"
"69","Wolverhampton","1.6"
"70","Nonsuch","1.6"
"71","Cardiff","1.6"
"72","Millennium Country","1.6"
"73","Chipping Sodbury","1.6"
"74","Felixstowe","1.6"
"75","Penrose","1.6"
"76","York","1.6"
"77","Blandford","1.6"
"78","Hastings","1.6"
"79","Wickford Memorial","1.6"
"80","MUSA Cookstown","1.6"
"81","Sloughbottom","1.6"
"82","Warwick Racecourse","1.6"
"83","Alvaston","1.7"
"84","Northala Fields","1.7"
"85","Woodley","1.7"
"86","Bushy Park","1.7"
"87","Walmer and Deal Seafront","1.7"
"88","Littlehampton Prom","1.7"
"89","Roberts Park","1.8"
"90","Berkeley Green","1.8"
"91","Bryn Bach","1.8"
"92","Sixfields Upton","1.8"
"93","Pontypridd","1.8"
"94","Burnham and Highbridge","1.8"
"95","Brighouse","1.8"
"96","Huddersfield","1.8"
"97","Markshall Estate","1.8"
"98","Southampton","1.8"
"99","Greenock","1.8"
"100","Penallta","1.8"
"101","Coldham's Common","1.8"
"102","Ferry Meadows","1.8"
"103","Congleton","1.8"
"104","Brueton","1.8"
"105","Rothwell","1.8"
"106","Aberdeen","1.8"
"107","Kings Lynn","1.8"
"108","Tyne Green","1.8"
"109","Aberystwyth","1.8"
"110","Darlington South Park","1.8"
"111","Rutland Water","1.8"
"112","Redcar","1.8"
"113","Preston Park","1.8"
"114","Grangemoor","1.8"
"115","Antrim","1.8"
"116","Telford","1.8"
"117","Southsea","1.8"
"118","Lytham Hall","1.8"
"119","Gunnersbury","1.8"
"120","Ellon","1.8"
"121","Limavady","1.8"
"122","The Cinder Track","1.8"
"123","Seaford Beach","1.8"
"124","Sixmilewater","1.8"
"125","Charlton","1.9"
"126","Birkenhead","1.9"
"127","Market Harborough","1.9"
"128","Southwark","1.9"
"129","Fountains Abbey","1.9"
"130","Brighton & Hove","1.9"
"131","Fulham Palace","1.9"
"132","Oxford","1.9"
"133","Cleethorpes","1.9"
"134","Whiteley","1.9"
"135","Lee-on-the-Solent","1.9"
"136","Gunpowder","1.9"
"137","Coventry","1.9"
"138","Woodhouse Moor","1.9"
"139","Penrith","1.9"
"140","Cannon Hill","1.9"
"141","Armley","1.9"
"142","Perth","2.0"
"143","Bedford","2.0"
"144","Oak Hill","2.0"
"145","Barking","2.0"
"146","Tremorfa","2.0"
"147","Leicester Victoria","2.0"
"148","Millhouses","2.0"
"149","Selby","2.0"
"150","Ormeau","2.0"
"151","Dalby Forest","2.0"
"152","Cannock Chase","2.0"
"153","Shrewsbury","2.0"
"154","Fleetwood Promenade","2.0"
"155","Osterley","2.0"
"156","Mile End","2.0"
"157","Kingsway","2.0"
"158","Teignmouth Promenade","2.0"
"159","Sheffield Hallam","2.0"
"160","Woking","2.0"
"161","Malling","2.0"
"162","Eastbourne","2.0"
"163","Conkers","2.0"
"164","Clumber Park","2.0"
"165","Harwich","2.0"
"166","Ecos","2.0"
